station_id,num_bikes_available_mean,mechanical_available,ebike_available,num_docks_available_mean,num_docks_available_max,is_charging_station,status,is_installed,is_renting,is_returning,ttl,checkouts_hour_station,temperature,precipitation,wind_speed,weather_category,day_of_week,hour_of_day,month,checkouts_hour_station_lag1,checkouts_hour_station_lag24,lat,lon,address
226,0.5833333333333334,0.0,0.5833333333333334,22.333333333333332,23,True,IN_SERVICE,1,1,1,0,2,11.0,0.0,7.6,clear,0,10,1,1.0,2.0,41.4035608,2.1609345,"C/ MONTMANY, 1"
72,8.0,4.666666666666667,3.3333333333333335,13.75,20,True,IN_SERVICE,1,1,1,1,14,10.0,0.0,3.6,clear,5,0,11,4.0,0.0,41.3927771,2.1586273,"C/ PROVENÇA, 215"
84,7.916666666666667,4.75,3.1666666666666665,17.0,19,True,IN_SERVICE,1,1,1,0,3,19.0,0.0,14.8,cloudy,0,13,12,2.0,10.0,41.3830299,2.1571646,"C/ DEL COMTE D'URGELL, 75 B"
220,1.4166666666666667,0.0,1.4166666666666667,22.166666666666668,23,True,IN_SERVICE,1,1,1,0,7,32.0,0.0,13.0,clear,5,12,8,8.0,10.0,41.3960982,2.1513154,"C/ TUSET, 19"
123,1.9166666666666667,0.0,1.9166666666666667,14.416666666666666,15,True,IN_SERVICE,1,1,1,0,4,15.0,0.0,19.0,cloudy,2,5,11,1.0,3.0,41.3988184485363,2.166735224916682,"C/ PROVENÇA, 317"
119,20.083333333333332,18.0,2.0833333333333335,15.75,17,True,IN_SERVICE,1,1,1,0,4,13.0,0.0,5.4,cloudy,5,23,11,4.0,9.0,41.3967169,2.1825085,"C/ SARDENYA,  178"
112,7.25,6.083333333333333,1.1666666666666667,12.666666666666666,18,True,IN_SERVICE,1,1,1,0,5,22.0,0.0,3.6,cloudy,5,12,10,3.0,5.0,41.3776721,2.157233,"C/ FLORIDABLANCA, 49"
118,21.583333333333332,8.583333333333334,13.0,2.3333333333333335,6,True,IN_SERVICE,1,1,1,0,9,20.0,0.0,14.8,clear,2,14,11,7.0,5.0,41.39212,2.1874966,"C/ PUJADES,  3"
229,7.25,0.0,7.25,19.166666666666668,20,True,IN_SERVICE,1,1,1,1,5,18.0,0.0,13.0,cloudy,2,4,10,2.0,7.0,41.4050968,2.1569161,"C/ DE LA SANTACREU, 2 (PL. DE LA VIRREINA)"
510,1.75,1.0,0.75,20.0,20,True,IN_SERVICE,1,1,1,0,3,12.0,0.0,5.4,clear,4,1,10,2.0,0.0,41.3989151,2.1564253,"C/ GRAN DE GRÀCIA, 37"
229,2.5833333333333335,0.0,2.5833333333333335,23.75,26,True,IN_SERVICE,1,1,1,0,10,20.0,0.1,5.4,rain,4,11,10,1.0,5.0,41.4050968,2.1569161,"C/ DE LA SANTACREU, 2 (PL. DE LA VIRREINA)"
370,2.4166666666666665,0.75,1.6666666666666667,29.333333333333332,31,True,IN_SERVICE,1,1,1,0,4,3.0,0.0,7.6,clear,4,22,1,9.0,4.0,41.4039698,2.1729061,"C/ SARDENYA, 326"
123,4.833333333333333,0.0,4.833333333333333,14.25,17,True,IN_SERVICE,1,1,1,0,7,29.0,0.0,7.6,cloudy,3,10,8,4.0,2.0,41.3988184485363,2.166735224916682,"C/ PROVENÇA, 317"
24,24.083333333333332,15.0,9.083333333333334,10.25,14,True,IN_SERVICE,1,1,1,0,9,22.0,,5.4,clear,2,4,8,3.0,7.0,41.4005784,2.1788855,"C/ MARINA, 199"
370,5.166666666666667,0.75,4.416666666666667,22.833333333333332,24,True,IN_SERVICE,1,1,1,0,2,9.0,0.0,0.0,clear,6,23,12,2.0,7.0,41.4039698,2.1729061,"C/ SARDENYA, 326"
61,0.9166666666666666,0.0,1.5833333333333333,18.0,20,True,MAINTENANCE,1,0,0,0,0,26.0,0.0,13.0,clear,0,18,8,9.0,0.0,41.39352,2.166797,"C/ ARAGÓ, 288"
230,1.4166666666666667,0.0,1.4166666666666667,22.25,23,True,IN_SERVICE,1,1,1,0,3,6.0,0.0,1.8,cloudy,6,8,1,1.0,6.0,41.4059356,2.1517977,"C/ DE NIL FABRA, 16-20"
153,1.25,0.0,1.25,20.75,21,True,IN_SERVICE,1,1,1,0,2,20.0,0.0,9.4,cloudy,6,7,9,3.0,4.0,41.4018686,2.20077,"C/ PUJADES, 173/RBLA POBLE NOU"
359,11.166666666666666,4.916666666666667,6.25,13.833333333333334,16,True,IN_SERVICE,1,1,1,0,7,27.0,,5.4,clear,6,12,9,17.0,5.0,41.3900544,2.1775594,"C/ MÉNDEZ NÚÑEZ, 16"
371,18.75,13.5,5.25,15.916666666666666,21,True,IN_SERVICE,1,1,1,0,19,13.0,0.0,7.6,cloudy,1,16,12,2.0,11.0,41.4040525,2.181199,"C/ DELS ENAMORATS, 49"
364,23.692307692307693,2.4615384615384617,21.23076923076923,7.3076923076923075,11,True,IN_SERVICE,1,1,1,0,7,11.0,0.0,22.3,clear,5,12,12,4.0,14.0,41.393062,2.1633226,"PG. DE GRÀCIA, 61"
73,22.11111111111111,0.6666666666666666,21.444444444444443,3.111111111111111,7,True,IN_SERVICE,1,1,1,0,1,16.0,0.0,1.8,clear,1,11,11,5.0,7.0,41.392135,2.1563542,"C/ ENRIC GRANADOS, 93"
72,7.0,2.25,4.75,17.916666666666668,24,True,IN_SERVICE,1,1,1,0,12,24.0,0.0,5.4,clear,4,23,8,3.0,3.0,41.3927771,2.1586273,"C/ PROVENÇA, 215"
83,5.916666666666667,1.4166666666666667,4.5,14.25,17,True,IN_SERVICE,1,1,1,0,4,11.0,0.0,3.6,cloudy,5,22,11,13.0,3.0,41.3821658,2.1520645,"C/ CALABRIA, 158"
188,7.833333333333333,1.0,6.833333333333333,19.166666666666668,20,True,IN_SERVICE,1,1,1,0,0,7.0,0.0,9.4,cloudy,0,1,12,1.0,3.0,41.3756948,2.1358571,PG. SANT ANTONI /PL. SANTS
438,1.6666666666666667,0.5833333333333334,1.0833333333333333,24.666666666666668,27,True,IN_SERVICE,1,1,1,0,7,18.0,0.0,5.4,cloudy,4,17,11,6.0,11.0,41.3981669,2.1754896,"C/ NÀPOLS, 183"
119,15.25,12.666666666666666,2.5833333333333335,18.916666666666668,23,True,IN_SERVICE,1,1,1,1,7,15.0,0.0,7.0,cloudy,3,18,11,5.0,13.0,41.3967169,2.1825085,"C/ SARDENYA,  178"
94,7.166666666666667,3.9166666666666665,3.25,38.583333333333336,43,True,IN_SERVICE,1,1,1,0,2,6.0,0.0,9.4,clear,0,18,12,9.0,7.0,41.3757914,2.1499102,"GRAN  VIA DE LES CORTS CATALANES, 375-385"
149,6.0,4.0,2.0,18.166666666666668,19,True,IN_SERVICE,1,1,1,0,4,6.0,0.0,14.8,cloudy,6,5,12,2.0,0.0,41.3958685,2.192952,"C/ PUJADES, 57B"
108,1.9166666666666667,0.0,1.9166666666666667,17.833333333333332,20,True,IN_SERVICE,1,1,1,0,5,11.0,,7.6,storm,3,12,12,6.0,1.0,41.4022081,2.1649035,"C / INDÚSTRIA, 10"
94,14.916666666666666,8.25,6.666666666666667,31.0,34,True,IN_SERVICE,1,1,1,0,1,21.0,0.0,3.6,cloudy,2,6,8,3.0,5.0,41.3757914,2.1499102,"GRAN  VIA DE LES CORTS CATALANES, 375-385"
83,2.5833333333333335,0.8333333333333334,1.75,16.916666666666668,19,True,IN_SERVICE,1,1,1,0,8,19.0,0.0,0.0,cloudy,5,11,10,9.0,2.0,41.3821658,2.1520645,"C/ CALABRIA, 158"
390,4.416666666666667,2.9166666666666665,1.5,19.416666666666668,22,True,IN_SERVICE,1,1,1,0,9,21.0,0.0,9.0,cloudy,1,14,11,9.0,4.0,41.3869612,2.1820169,"C/ COMERÇ, 36"
108,2.5,0.3333333333333333,2.1666666666666665,16.083333333333332,19,True,IN_SERVICE,1,1,1,0,8,26.0,0.0,13.0,cloudy,6,12,10,5.0,7.0,41.4022081,2.1649035,"C / INDÚSTRIA, 10"
443,0.5,0.0,0.5,27.416666666666668,28,True,IN_SERVICE,1,1,1,0,4,30.0,0.0,13.0,cloudy,1,18,8,7.0,7.0,41.3887127,2.1542277,"C/ CASANOVA, 139"
61,1.3333333333333333,0.0,1.3333333333333333,15.583333333333334,17,True,IN_SERVICE,1,1,1,0,3,12.0,0.0,3.6,cloudy,6,9,11,5.0,4.0,41.39352,2.166797,"C/ ARAGÓ, 288"
414,10.333333333333334,7.333333333333333,3.0,21.5,23,True,IN_SERVICE,1,1,1,0,3,12.0,0.0,1.8,clear,4,6,11,1.0,2.0,41.3937234,2.1764275,"C/ CASP, 67"
29,4.916666666666667,0.0,4.916666666666667,10.583333333333334,11,True,IN_SERVICE,1,1,1,0,6,14.0,0.0,5.4,clear,0,23,10,7.0,2.0,41.401061,2.169941,"C/ PROVENÇA, 388-390"
72,4.416666666666667,2.0,2.4166666666666665,21.0,25,True,IN_SERVICE,1,1,1,0,14,26.0,0.0,16.6,clear,0,14,9,9.0,7.0,41.3927771,2.1586273,"C/ PROVENÇA, 215"
52,20.916666666666668,19.916666666666668,1.0,9.416666666666666,12,True,IN_SERVICE,1,1,1,0,10,18.0,0.0,3.6,clear,6,21,9,11.0,3.0,41.381708,2.177292,"PL. SANT MIQUEL, 4"
94,26.083333333333332,13.75,12.333333333333334,19.916666666666668,24,True,IN_SERVICE,1,1,1,0,0,15.0,0.0,5.4,cloudy,5,8,11,1.0,2.0,41.3757914,2.1499102,"GRAN  VIA DE LES CORTS CATALANES, 375-385"
84,15.333333333333334,3.9166666666666665,11.416666666666666,10.666666666666666,11,True,IN_SERVICE,1,1,1,0,2,18.0,0.0,9.4,clear,3,20,10,15.0,7.0,41.3830299,2.1571646,"C/ DEL COMTE D'URGELL, 75 B"
119,21.833333333333332,19.333333333333332,2.5,17.166666666666668,20,True,IN_SERVICE,1,1,1,0,5,13.0,0.0,0.0,clear,5,9,11,5.0,10.0,41.3967169,2.1825085,"C/ SARDENYA,  178"
414,20.25,3.8333333333333335,16.416666666666668,10.75,12,True,IN_SERVICE,1,1,1,1,3,15.0,0.0,3.6,cloudy,1,12,11,2.0,9.0,41.3937234,2.1764275,"C/ CASP, 67"
395,10.75,10.083333333333334,0.6666666666666666,18.166666666666668,19,True,IN_SERVICE,1,1,1,0,5,21.0,0.0,0.0,clear,5,4,8,4.0,2.0,41.3860607,2.1702467,"PL. CATALUNYA, 22"
